,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
65,El Salvador,36.2678,..,..,..,..,..,..,..,..,..,..,..,..,24.59877,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.17774,..,8.80756,8.02103,6.26468,6.43266,..,2.95106,3.11624,3.67326,3.51508,3.54377,3.72457,4.12243,5.05888,7.72824,10.11547,12.60206,13.91618,18.22823,..,SLV
66,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.5622,..,..,..,..,..,41.87355,33.05882,35.93965,36.0546,..,..,..,..,53.61409,54.55213,55.09455,53.87971,52.57685,..,..,55.32296,..,..,..,GNQ
67,Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.72838,..,76.81113,75.69618,74.00979,73.70772,..,68.86689,63.70458,61.60573,56.76954,52.01011,49.328,47.48754,47.61466,52.02123,55.55892,58.74551,61.07868,58.95971,56.86486,58.28954,58.11734,59.45906,..,64.03557,..,ERI
68,Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.9243,10.09114,..,..,0.0163,0.02204,0.02331,..,1.93786,2.87175,3.47979,4.21966,3.03897,3.82383,4.31944,1.39198,0.23011,0.18705,1.77916,5.42208,5.7246,5.67227,..,..,EST
69,Eswatini,43.89932,43.93751,41.97239,39.15418,37.64782,35.00095,33.98017,32.817,32.09555,30.83205,..,25.57191,25.77327,25.92765,25.90696,24.09976,25.48766,24.73306,25.56999,25.62352,23.75958,23.9959,23.61856,25.25597,24.50195,23.80966,26.25761,..,..,..,..,..,..,..,..,..,..,..,..,25.63491,20.81551,21.91726,21.71546,24.22551,23.20513,24.08937,24.78219,..,..,SWZ
70,Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.73326,75.42793,75.92952,..,..,..,..,84.49494,82.80497,79.78472,..,73.38883,70.40441,65.89765,61.24397,58.71361,57.53453,53.69172,42.18394,36.79365,31.48469,25.82365,25.60174,27.632,23.96352,22.67077,..,16.57886,17.16269,..,..,..,ETH
71,Faeroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
72,Falkland Islands (Malvinas),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,FLK
73,Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.31273,..,2.87837,4.21954,7.0956,6.66156,5.42864,5.44992,5.1129,1.94066,..,0.10084,0.66794,..,0.47206,..,..,0.37978,..,..,..,1.54715,..,1.61025,..,..,..,FJI
74,Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.28423,1.29208,1.63872,1.33023,1.20971,0.65828,..,..,0.17447,0.57759,1.37385,2.33923,2.58213,2.96697,2.38867,2.13779,1.93865,1.64693,1.43855,0.9156,0.83692,0.38713,0.75218,0.77113,..,..,FIN
75,France,..,1.94808,1.78972,..,..,..,..,..,..,..,..,..,1.37818,3.44622,..,4.3261,1.79769,..,..,..,..,..,0.37118,1.9252,2.22214,1.28669,0.29832,0.32747,..,0.17721,3.61563,3.68535,3.71187,3.93451,3.87131,0.50026,0.57616,0.50304,1.00631,1.34728,1.82448,0.59483,0.54532,0.66392,0.70939,0.78319,0.6022,..,..,FRA
